player_name,source_school,source_season,resolved_sports_reference_profile_url,override_reason
Ty Johnson,Loyola Chicago,2021-22,https://www.sports-reference.com/cbb/players/ty-johnson-3.html,user_provided_correct_profile
Dre Bullock,South Dakota,2024-25,https://www.sports-reference.com/cbb/players/quandre-bullock-1.html,user_provided_correct_profile
Kieves Turner,San Diego,2023-24,https://www.sports-reference.com/cbb/players/deuce-turner-1.html,known_alias_deuce_turner
Isaiah Lewis,Little Rock,2024-25,https://www.sports-reference.com/cbb/players/isaiah-lewis-4.html,user_provided_correct_profile
A.J. George,SMU,2024-25,https://www.sports-reference.com/cbb/players/aj-george-1.html,user_provided_correct_profile
Aleks Szymczyk,Charlotte,2024-25,https://www.sports-reference.com/cbb/players/aleksander-szymczyk-1.html,resolved_from_cached_roster_for_college_stat_seasons
B.J. Kolly,Montana State,2024-25,https://www.sports-reference.com/cbb/players/bj-kolly-1.html,resolved_from_cached_roster_for_college_stat_seasons
Ben Griscti,Incarnate Word,2022-23,https://www.sports-reference.com/cbb/players/benjamin-griscti-1.html,resolved_from_cached_roster_for_college_stat_seasons
"Carl Daughtery, Jr.",Central Arkansas,2023-24,https://www.sports-reference.com/cbb/players/carl-daugherty-1.html,resolved_from_cached_roster_for_college_stat_seasons
E.J. Anosike,Tennessee,2020-21,https://www.sports-reference.com/cbb/players/ej-anosike-1.html,resolved_from_cached_roster_for_college_stat_seasons
Gytis Nemeikša,Xavier,2023-24,https://www.sports-reference.com/cbb/players/gytis-nemeiksa-1.html,resolved_from_cached_roster_for_college_stat_seasons
Isaac Johnson,Utah State,2024-25,https://www.sports-reference.com/cbb/players/isaac-johnson-23.html,resolved_from_cached_roster_for_college_stat_seasons
J.P. Moorman II,Temple,2020-21,https://www.sports-reference.com/cbb/players/jp-moorman-1.html,resolved_from_cached_roster_for_college_stat_seasons
"John Square, Jr.",Fairleigh Dickinson,2021-22,https://www.sports-reference.com/cbb/players/john-squarejr-1.html,resolved_from_cached_roster_for_college_stat_seasons
Josh O'Garro,Texas State,2024-25,https://www.sports-reference.com/cbb/players/josh-ogarro-1.html,resolved_from_cached_roster_for_college_stat_seasons
Lassina Traoré,Saint Louis,2021-22,https://www.sports-reference.com/cbb/players/lassina-traore-1.html,resolved_from_cached_roster_for_college_stat_seasons
Luka Tarlać,Utah,2023-24,https://www.sports-reference.com/cbb/players/luka-tarlac-1.html,resolved_from_cached_roster_for_college_stat_seasons
"Marqui Worthy, Jr.",Massachusetts,2024-25,https://www.sports-reference.com/cbb/players/marqui-worthy-1.html,resolved_from_cached_roster_for_college_stat_seasons
Matija Svetozarević,Portland,2021-22,https://www.sports-reference.com/cbb/players/matija-svetozarevic-1.html,resolved_from_cached_roster_for_college_stat_seasons
Petar Majstorović,Syracuse,2024-25,https://www.sports-reference.com/cbb/players/petar-majstorovic-1.html,resolved_from_cached_roster_for_college_stat_seasons
Pierre Crockrell II,Pacific,2021-22,https://www.sports-reference.com/cbb/players/pierre-crockrellii-1.html,resolved_from_cached_roster_for_college_stat_seasons
Ronald Jessamy,Tennessee State,2024-25,https://www.sports-reference.com/cbb/players/ron-jessamy-1.html,resolved_from_cached_roster_for_college_stat_seasons
"Shay Johnson, Jr.",San Diego State,2024-25,https://www.sports-reference.com/cbb/players/demarshay-johnsonjr-1.html,resolved_from_cached_roster_for_college_stat_seasons
T.J. Wainwright,Robert Morris,2023-24,https://www.sports-reference.com/cbb/players/tj-wainwright-1.html,resolved_from_cached_roster_for_college_stat_seasons
