target_conference,player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,reason
Big West,Joshua Ward,joshua-ward,Cal State Fullerton,cal-state-fullerton,2025-26,no_matching_player_team_row
Big West,Josh O'Garro,josh-ogarro,Cal State Northridge,cal-state-northridge,2025-26,no_matching_player_team_row
Big West,J.P. Moorman II,jp-moorman-ii,UC Riverside,uc-riverside,2021-22,no_matching_player_team_row
Big West,"John Square, Jr.",john-square-jr,Cal State Fullerton,cal-state-fullerton,2022-23,no_matching_player_team_row
WCC,MJ Amey,mj amey,Loyola Marymount,loyola-marymount,2024-25,no_matching_player_team_row
WCC,Yuto Yamanouchi,yuto yamanouchi,Portland,portland,2023-24,no_matching_player_team_row
WCC,Juan Sebastian Gorosito,juan sebastian gorosito,San Diego,san-diego,2025-26,no_matching_player_team_row
WCC,Aleksandar Gavalyugov,aleksandar gavalyugov,Santa Clara,santa-clara,2025-26,no_matching_player_team_row
WCC,Juan Reyna,juan reyna,Santa Clara,santa-clara,2025-26,no_matching_player_team_row
Mountain West,Elijah Harkless,elijah harkless,UNLV,unlv,2022-23,no_matching_player_team_row
Mountain West,Isaiah Cottrell,isaiah cottrell,UNLV,unlv,2022-23,no_matching_player_team_row
Mountain West,C.J. Noland,c j noland,New Mexico,new-mexico,2024-25,no_matching_player_team_row
Mountain West,Reese Dixon-Waters,reese dixon waters,San Diego State,san-diego-state,2023-24,no_matching_player_team_row
Mountain West,Daniel Akin,daniel akin,Utah State,utah-state,2022-23,no_matching_player_team_row
Atlantic 10,Joseph Reece,joseph reece,Duquesne,duquesne,2022-23,no_matching_player_team_row
Atlantic 10,Desmond Watson,desmond watson,Loyola Chicago,loyola-chicago,2023-24,no_matching_player_team_row
