target,first_big_west_season,rows,mae,median_abs_error,mean_error,actual_mean,prediction_mean
bpm,2023-24,94,3.273656071562307,2.4685580762270956,0.6838354815440587,-0.38297872340425515,0.3008567581398035
bpm,2022-23,89,3.1816117300719644,2.2048603689930086,-0.13559540784645452,0.17191011235955062,0.03631470451309604
bpm,2021-22,10,2.8169299111835477,2.9688394162348013,-0.7713822573564822,-0.7,-1.4713822573564823
bpm,2025-26,172,2.6176063092742,2.0912422152976116,-0.5425672348518064,0.6186046511627907,0.0760374163109844
bpm,2024-25,137,2.5512627378639428,2.08341431929854,0.2496119647175321,-0.01897810218978102,0.230633862527751
bpm_percentile,2021-22,10,22.375386413706657,16.6508073070422,-5.911605582937355,43.286852589641434,37.37524700670408
bpm_percentile,2023-24,94,22.121151064714642,20.41191486585729,0.0780700970890732,48.36399084513012,48.44206094221919
bpm_percentile,2024-25,137,21.63589340647296,20.451208138085462,2.8019244388201354,48.074853869194754,50.87677830801489
bpm_percentile,2025-26,172,20.83607118695325,18.56569802232798,-0.41576421909756345,53.64240711572315,53.22664289662559
bpm_percentile,2022-23,89,20.5703123356247,18.483743334331137,0.7356527380057389,48.96817225480102,49.70382499280676
bpr,2023-24,69,1.7077026453921607,1.5566420536630363,-0.14802081877571252,1.3159420289855073,1.1679212102097947
bpr,2024-25,104,1.5042369915669995,1.2458418011636305,0.17964370116525036,1.0803846153846153,1.2600283165498658
bpr,2021-22,8,1.5007388457533266,0.9713971998781814,-0.03115217554101274,0.04375000000000001,0.012597824458987321
bpr,2025-26,138,1.4313600085472478,1.1402596101687437,0.01556292111803139,1.3066666666666666,1.322229587784698
bpr,2022-23,60,1.2907280678693245,0.9894135366623009,-0.22071839620609118,1.3081666666666665,1.0874482704605757
porpag,2021-22,9,1.2082349483283312,1.2938830965632762,-0.5184592660987328,1.446269888888889,0.9278106227901561
porpag,2023-24,91,1.0464838714465403,0.924848248497324,-0.11173875206058026,1.3202776858241758,1.2085389337635957
porpag,2025-26,167,0.9396074264431611,0.8254532731794537,0.037874982320098914,1.2938584550898204,1.3317334374099192
porpag,2022-23,84,0.9169354280454869,0.8777511968076448,0.009808433541616436,1.187015760595238,1.1968241941368545
porpag,2024-25,135,0.8329859436333528,0.6839740476029293,0.10561620599666377,1.1733392541555554,1.2789554601522193
